gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_w_all,a_nw_all,a_marok,a_antaru,a_suri,a_tur,a_ov_nw,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,ID,VormenVanJeugdzorg,Wijken,Perioden,TotaalJongerenMetJeugdzorgInNatura_1,k_0Tot4Jaar_2,k_4Tot12Jaar_3,k_12Tot18Jaar_4,k_18Tot23Jaar_5,ThuiswonendKindInEenouderhuishouden_6,ThuiswonendKindBijEenPaar_7,AnderHuishouden_8,TotaalTrajectenInNatura_9,GemeentelijkeToegang_10,Huisarts_11,Jeugdarts_12,GecertificeerdeInstelling_13,MedischSpecialist_14,RechterOfficierVanJustitie_15,GeenVerwijzer_16,VerwijzerOnbekend_17,Gemeentenaam_18,SoortRegio_19,Codering_20,IndelingswijzigingWijken_21,year
NL00,0,Nederland,Nederland,Land,NL00,,17475415,8686536,8788879,2711731,2139221,4347005,4819923,3457535,8558739,6678969,1377923,859784,1858730,2447178,414186,171413,358266,422030,1081283,179441.0,10.0,170972.0,10.0,8043443,3097117,2331454,2614872,21,519,7966331,290,64,36,96,4,57,43,29,14,0,82,18,2810,2040,2870,3000,3370,4200,2140,3300,1280,850,1200,1420,1670,2220,990,1490,6.4,3565510.0,5520240.0,4215660.0,69.0,83.0,17.0,13946000.0,358,292,400,200,335,400,200,68,67,100,127,874,407970.0,747060.0,166620.0,3233130.0,,,,,2104540,77875,289660,364075,156870,168595,478950,332725,235795,8686420,6980745,1705675,11,258,666595,10,09,07,07,107,4154338,3367109,787228,,,2,2024,,,,,,,,,,,,,,,,,,,,,,,,,,2021
GM0014,14,Groningen,Groningen,Gemeente,GM0014,,233273,116177,117096,28437,49538,69799,50403,35096,153241,55478,16374,8180,29771,28507,1278,4077,3367,1771,18014,2233.0,10.0,1846.0,8.0,136508,80059,30882,25567,17,1257,118922,226,40,60,96,4,40,59,33,27,0,83,17,2250,1840,2570,2740,3170,3970,1910,2740,1220,980,1350,1550,1750,2400,1030,1490,3.1,31590.0,74950.0,84970.0,65.0,87.0,13.0,187700.0,319,267,459,169,268,592,117,118,110,160,189,110,10100.0,8890.0,2100.0,32730.0,,,16610.0,71.0,26220,200,2030,4255,2350,1765,6535,5135,3945,94430,71655,22775,07,509,6170,08,07,05,07,96,19796,18560,1236,,,1,3312,3566.0,T001203,GM0014,2021JJ00,5465,415,2535,2265,250,1995,2995,475,8270,2170,3540,145,810,335,30,305,170,Groningen,Gemeente,GM0014,,2021
WK001400,1400,Centrum,Groningen,Wijk,WK001400,1,22735,11875,10860,630,9745,7790,2670,1905,19275,2075,1055,330,4310,2645,60,305,220,160,1895,85.0,4.0,100.0,4.0,17935,14360,2910,675,13,10059,12546,219,14,86,92,8,16,84,27,57,0,86,14,2030,1920,2670,2910,3040,3650,1950,2500,1100,1010,1560,1800,2480,2620,1040,1430,3.6,1370.0,10300.0,10090.0,62.0,86.0,14.0,19000.0,261,237,581,117,204,794,53,149,121,179,210,00,780.0,530.0,190.0,1810.0,,,850.0,37.0,4510,5,195,1190,385,275,970,605,885,4150,3190,960,02,1838,370,03,03,03,06,159,241,226,16,,,1,6353,3569.0,T001203,WK001400,2021JJ00,110,10,35,50,10,45,50,15,145,40,75,,10,,,,,Groningen,Wijk,WK001400,1,2021
WK001401,1401,Oud-Zuid,Groningen,Wijk,WK001401,1,19695,9745,9950,1040,6345,7260,3085,1970,15915,2360,1055,360,3195,1735,40,215,170,55,1255,190.0,10.0,60.0,3.0,14095,9955,3055,1080,14,5323,10808,210,17,83,96,4,33,67,25,42,0,91,9,1980,1910,2230,2480,2690,3180,1920,2120,1180,1120,1370,1670,1870,2260,1140,1260,,1610.0,7510.0,9290.0,67.0,88.0,12.0,16800.0,299,269,479,156,239,673,70,111,94,139,166,34,640.0,600.0,190.0,1850.0,,,930.0,47.0,2375,0,120,255,245,150,680,520,405,5545,4435,1110,04,1501,465,05,04,03,05,138,387,370,17,,,1,4047,3572.0,T001203,WK001401,2021JJ00,165,15,85,55,10,70,80,15,225,55,110,,20,15,,,,Groningen,Wijk,WK001401,1,2021
WK001402,1402,Oud-West,Groningen,Wijk,WK001402,1,14055,6905,7150,935,4500,4565,2555,1505,11065,1955,790,250,2260,1380,30,130,120,75,1025,80.0,6.0,40.0,3.0,9830,6910,1975,950,14,12553,7545,236,26,74,95,5,36,63,23,40,0,96,4,2060,1910,2380,2760,3750,3580,1930,2290,1270,1150,1500,1950,2380,2740,1150,1480,,1020.0,4640.0,7050.0,66.0,86.0,14.0,11800.0,311,274,488,176,244,666,94,125,107,149,178,40,460.0,370.0,120.0,1410.0,,,500.0,36.0,1610,0,100,180,130,100,485,335,270,3720,2950,770,04,3309,330,06,03,04,06,157,118,112,6,,,1,5280,3575.0,T001203,WK001402,2021JJ00,185,10,95,65,10,65,90,25,250,65,125,,15,15,,10,,Groningen,Wijk,WK001402,1,2021
WK001403,1403,Oud-Noord,Groningen,Wijk,WK001403,1,18405,9205,9205,1820,5145,7150,2960,1330,14845,2165,1125,280,2505,3395,190,535,445,190,2040,195.0,11.0,80.0,4.0,12460,8510,2410,1535,15,10342,10548,176,15,85,97,3,18,82,52,30,0,82,18,1850,1760,2380,2340,2220,3420,1790,2160,1070,1040,1200,1390,1460,1750,1030,1250,3.5,2620.0,6540.0,6880.0,64.0,90.0,10.0,15400.0,256,221,558,101,212,746,45,195,174,249,291,10,1600.0,840.0,180.0,1200.0,,,1145.0,62.0,1490,5,110,220,155,35,395,280,295,4465,3705,760,04,2512,365,06,04,03,07,117,186,178,9,,,1,5130,3578.0,T001203,WK001403,2021JJ00,320,40,130,130,25,180,115,25,490,135,175,15,70,20,,10,,Groningen,Wijk,WK001403,1,2021
WK001404,1404,Oosterparkwijk,Groningen,Wijk,WK001404,1,12355,6105,6250,1280,2475,5125,2390,1080,9355,1775,945,280,1615,1945,70,275,225,145,1225,150.0,12.0,65.0,5.0,8165,5305,1705,1160,15,8291,7466,191,21,79,96,4,23,77,49,28,0,79,21,1850,1720,2320,2410,2500,3650,1750,2200,1020,980,1120,1300,1440,2320,980,1150,,1880.0,4000.0,4910.0,64.0,89.0,11.0,10400.0,288,249,490,128,238,699,68,192,178,254,286,27,1030.0,700.0,130.0,970.0,,,925.0,75.0,995,0,65,125,110,30,260,245,160,3295,2730,570,04,2218,290,05,05,03,06,105,165,149,16,,,1,4216,3581.0,T001203,WK001404,2021JJ00,285,35,130,110,10,160,95,30,480,115,195,15,60,10,,15,,Groningen,Wijk,WK001404,1,2021
WK001405,1405,Zuidoost,Groningen,Wijk,WK001405,1,3290,1735,1555,380,420,1125,775,590,1980,955,200,160,470,280,5,10,15,30,215,30.0,9.0,45.0,14.0,1875,975,570,325,18,349,1723,276,19,81,93,7,41,59,17,41,0,4,96,2410,2120,2820,3070,3950,4490,2020,2930,610,420,750,1270,1740,1980,490,770,34.8,300.0,780.0,1460.0,73.0,83.0,17.0,2700.0,434,369,279,310,,382,202,45,46,58,70,745,40.0,80.0,30.0,560.0,,,185.0,56.0,1825,5,260,440,180,190,450,160,140,3395,2025,1370,18,360,125,06,08,07,12,95,1001,942,59,,,2,1840,3584.0,T001203,WK001405,2021JJ00,45,,20,20,,10,30,,55,10,30,,,,,,,Groningen,Wijk,WK001405,1,2021
WK001406,1406,Helpman e.o.,Groningen,Wijk,WK001406,1,19315,9540,9775,2620,2710,5825,4535,3620,11985,4935,1520,870,2520,2015,55,280,200,85,1390,170.0,9.0,220.0,11.0,10800,6005,2585,2210,17,4450,10148,256,32,68,96,4,53,47,23,24,0,90,10,2300,1900,2790,2970,3610,4380,1900,2640,1360,1070,1680,1910,2180,3000,1060,1620,,1970.0,4900.0,8250.0,68.0,85.0,15.0,15400.0,396,328,358,248,324,487,169,93,85,122,143,618,650.0,670.0,170.0,3380.0,,,1310.0,68.0,1980,10,95,220,150,165,545,520,275,7320,5875,1445,07,1688,410,10,05,04,06,90,439,434,6,,,1,2891,3587.0,T001203,WK001406,2021JJ00,400,30,180,180,10,140,235,25,645,150,285,10,60,30,,20,,Groningen,Wijk,WK001406,1,2021
WK001407,1407,Zuidwest,Groningen,Wijk,WK001407,1,10750,5205,5550,1275,1315,2790,2775,2600,6100,3010,975,670,1130,1030,50,95,105,65,720,95.0,9.0,165.0,15.0,5970,3220,1510,1240,17,2837,6125,247,33,67,95,5,41,59,39,20,0,81,19,2140,1730,2570,2670,3340,4010,1750,2700,1140,930,1280,1490,1800,2250,960,1400,,1390.0,2630.0,4130.0,66.0,86.0,14.0,8800.0,367,313,388,219,311,518,151,90,93,137,171,395,390.0,490.0,100.0,2410.0,,,1165.0,108.0,1300,0,55,125,110,115,365,350,175,4365,3530,840,07,1152,265,07,06,06,09,88,435,379,56,,,2,2208,3590.0,T001203,WK001407,2021JJ00,225,10,100,105,10,75,135,15,290,70,160,10,10,15,,,,Groningen,Wijk,WK001407,1,2021
