"Regio's";"Perioden";"Jongeren met jeugdhulp in natura (% (zie toelichting))";"Jongeren met jeugdh. met verbl. in nat. (% (zie toelichting))";"Jongeren met jeugdbescherming (% (zie toelichting))";"Jeugdbesch. en jeugdh. met verbl. in nat (% (zie toelichting))";"Jongeren met jeugdreclassering (% (zie toelichting))"
"Nederland";"2022*";13,2;8,8;1,2;46,3;0,3
"Aa en Hunze";"2022*";13;11,5;1,4;56,9;
"Aalsmeer";"2022*";12,5;5,7;0,6;60,5;0,2
"Aalten";"2022*";13,3;10,6;1;62,7;0,2
"Achtkarspelen";"2022*";12,8;9,6;1,4;50,6;
"Alblasserdam";"2022*";15,4;6,9;1,1;44;
"Albrandswaard";"2022*";9,4;6,3;0,5;46,7;0,3
"Alkmaar";"2022*";15,4;7,3;1,4;39,9;0,3
"Almelo";"2022*";14,5;16,3;2,4;57,2;0,5
"Almere";"2022*";13;8,2;1,3;44,7;0,5
"Alphen aan den Rijn";"2022*";14,2;7,4;1,1;48,4;0,3
"Alphen-Chaam";"2022*";12,6;;0,5;;
"Altena";"2022*";11,9;7,6;0,8;51;
"Ameland";"2022*";7,8;;;;
"Amersfoort";"2022*";14,6;6,2;1;43,2;0,3
"Amstelveen";"2022*";10,7;4,3;0,6;31,2;0,3
"Amsterdam";"2022*";13,9;7,2;0,9;49,9;0,5
"Apeldoorn";"2022*";14,4;10,7;1,6;46,2;0,2
"Arnhem";"2022*";14,7;10,4;1,4;47;0,6
"Assen";"2022*";16,9;10,1;1,1;50,7;0,7
"Asten";"2022*";9,9;10,8;1;63,3;
"Baarle-Nassau";"2022*";12,9;;0,7;;
"Baarn";"2022*";12,9;7,5;1,1;46;
"Barendrecht";"2022*";9,8;7,6;0,5;58,3;0,2
"Barneveld";"2022*";10,2;11,8;1,2;54,9;0,1
"Beek (L.)";"2022*";16,3;6,9;1;41,7;
"Beekdaelen";"2022*";15;8;1;36,4;
"Beemster";"2022*";;;;;
"Beesel";"2022*";14,7;7,3;2,1;31,9;
"Berg en Dal";"2022*";11,5;11,1;1,1;54;
"Bergeijk";"2022*";9,1;7,3;0,8;64;
"Bergen (L.)";"2022*";14;5,2;1,5;41,9;
"Bergen (NH.)";"2022*";12,7;4,1;0,8;27,8;
"Bergen op Zoom";"2022*";17,4;5;1,1;35,6;0,3
"Berkelland";"2022*";12,9;11,1;1,4;51,4;
"Bernheze";"2022*";13,5;4,6;0,9;32,1;
"Best";"2022*";13,3;5,5;0,7;58,5;
"Beuningen";"2022*";13,7;7,4;0,9;34,1;0,3
"Beverwijk";"2022*";13,8;7,7;1,1;40,5;
"De Bilt";"2022*";15;7;1;46,6;0,2
"Bladel";"2022*";9,5;7,5;0,5;75;0,4
"Blaricum";"2022*";10,6;4,6;0,3;;
"Bloemendaal";"2022*";11,9;2,6;0,4;;
"Bodegraven-Reeuwijk";"2022*";11,8;7,1;1,2;40,7;
"Boekel";"2022*";10,9;5,5;0,6;;
"Borger-Odoorn";"2022*";13,8;12,5;1,8;49,4;
"Borne";"2022*";12,5;7,1;1;44,9;
"Borsele";"2022*";12,1;13,2;1,2;50,9;
"Boxmeer";"2022*";;;;;
"Boxtel";"2022*";12,6;8,6;0,8;52,9;
"Breda";"2022*";13,3;6,1;0,8;43;0,3
"Brielle";"2022*";8,9;14;0,8;37,5;
"Bronckhorst";"2022*";12;10,9;1,2;45,7;
"Brummen";"2022*";13,6;6,5;1;45,5;
"Brunssum";"2022*";18,5;16,3;1,6;64,2;0,6
"Bunnik";"2022*";12,9;3,9;0,4;;
"Bunschoten";"2022*";14,1;5,8;0,9;48,9;
"Buren";"2022*";14,9;7,6;1,2;44,1;
"Capelle aan den IJssel";"2022*";14,4;9;1,3;48,5;0,7
"Castricum";"2022*";12,8;5,1;0,6;44,7;
"Coevorden";"2022*";11,4;12,4;1,2;57,3;0,2
"Cranendonck";"2022*";11,8;9;1,1;51,4;
"Cuijk";"2022*";;;;;
"Culemborg";"2022*";14,3;5,2;0,7;56,1;
"Dalfsen";"2022*";11,2;10,7;0,8;55,3;
"Dantumadiel";"2022*";10,3;14,4;1,7;52,4;
"Delft";"2022*";16,3;8,5;1,1;46;0,3
"Deurne";"2022*";10;9,2;0,7;44,4;
"Deventer";"2022*";11,5;12,1;1,3;51,8;0,4
"Diemen";"2022*";10,3;4,8;0,6;41,2;0,4
"Dijk en Waard";"2022*";14,2;8,6;1,5;39,3;0,3
"Dinkelland";"2022*";8,9;11,6;1;44;
"Doesburg";"2022*";18,5;11,5;2,3;46,2;
"Doetinchem";"2022*";13,1;15,5;1,8;55,4;0,4
"Dongen";"2022*";16;4;0,8;32,4;
"Dordrecht";"2022*";15,8;8,9;1,5;51;0,5
"Drechterland";"2022*";9,1;7,6;1,2;23,9;
"Drimmelen";"2022*";15,2;4,4;0,8;60;
"Dronten";"2022*";11,5;10;1,5;33,1;0,1
"Druten";"2022*";13,2;5,5;0,7;44;
