,ID,VormenVanJeugdzorg,Wijken,Perioden,TotaalJongerenMetJeugdzorgInNatura_1,k_0Tot4Jaar_2,k_4Tot12Jaar_3,k_12Tot18Jaar_4,k_18Tot23Jaar_5,ThuiswonendKindInEenouderhuishouden_6,ThuiswonendKindBijEenPaar_7,AnderHuishouden_8,TotaalTrajectenInNatura_9,GemeentelijkeToegang_10,Huisarts_11,Jeugdarts_12,GecertificeerdeInstelling_13,MedischSpecialist_14,RechterOfficierVanJustitie_15,GeenVerwijzer_16,VerwijzerOnbekend_17,Gemeentenaam_18,SoortRegio_19,Codering_20,IndelingswijzigingWijken_21
0,2,T001203,NL00      ,2022JJ00,  461985,   31040,  221980,  191520,   17440,  128385,  297540,   36065,  695095,  209385,  227295,   19555,   56135,   29330,    2295,   96890,    2825,                                        ,         ,NL01      ,       .
1,5,T001203,GM1680    ,2022JJ00,     595,      25,     285,     260,      25,     100,     445,      55,     860,     250,     360,      15,      50,      30,       .,      70,      10,Aa en Hunze                             ,Gemeente ,GM1680    ,       1
23,71,T001203,GM0358    ,2022JJ00,     870,      35,     475,     350,      15,     170,     660,      40,    1150,     355,     585,      10,      65,      50,       .,      35,       .,Aalsmeer                                ,Gemeente ,GM0358    ,       1
27,83,T001203,GM0197    ,2022JJ00,     705,      55,     315,     315,      20,     155,     490,      60,    1170,     490,     255,      20,      60,      30,       .,     250,       .,Aalten                                  ,Gemeente ,GM0197    ,       1
32,98,T001203,GM0059    ,2022JJ00,     785,      50,     385,     330,      15,     180,     535,      65,    1085,     430,     365,      30,      95,      35,      10,      30,       .,Achtkarspelen                           ,Gemeente ,GM0059    ,       1
36,110,T001203,GM0482    ,2022JJ00,     720,      45,     375,     275,      20,     165,     520,      35,    1110,     220,     205,       .,      65,      35,       .,     525,       .,Alblasserdam                            ,Gemeente ,GM0482    ,       1
43,131,T001203,GM0613    ,2022JJ00,     540,      30,     270,     235,      10,     110,     400,      30,     765,     165,     400,      35,      40,      55,       .,      20,       .,Albrandswaard                           ,Gemeente ,GM0613    ,       1
51,155,T001203,GM0361    ,2022JJ00,    3280,     190,    1675,    1310,     105,     990,    2055,     230,    4705,    1475,    2180,      35,     435,      80,       .,     125,      10,Alkmaar                                 ,Gemeente ,GM0361    ,       1
63,191,T001203,GM0141    ,2022JJ00,    2175,     170,    1050,     855,     100,     680,    1235,     260,    3675,    1240,     955,      90,     470,     150,      10,     330,       .,Almelo                                  ,Gemeente ,GM0141    ,       1
76,230,T001203,GM0034    ,2022JJ00,    6660,     530,    3140,    2755,     230,    2180,    3915,     565,    9825,    2015,    3750,     890,     955,     805,      20,     380,      70,Almere                                  ,Gemeente ,GM0034    ,       1
148,446,T001203,GM0484    ,2022JJ00,    3340,     165,    1615,    1400,     160,     715,    2375,     250,    5735,    1120,    1160,     145,     730,     225,      90,    1870,     110,Alphen aan den Rijn                     ,Gemeente ,GM0484    ,       1
165,497,T001203,GM1723    ,2022JJ00,     240,       .,     130,     105,       .,      35,     195,      10,     295,      65,     160,      10,       .,      40,       .,       .,       .,Alphen-Chaam                            ,Gemeente ,GM1723    ,       1
172,518,T001203,GM1959    ,2022JJ00,    1460,      65,     805,     565,      25,     230,    1150,      80,    2045,     870,     770,      40,      95,      55,       .,     115,       .,Altena                                  ,Gemeente ,GM1959    ,       1
192,578,T001203,GM0060    ,2022JJ00,      55,       .,      30,      20,       .,       .,      45,       .,      70,      20,      25,       .,       .,       .,       .,      10,       .,Ameland                                 ,Gemeente ,GM0060    ,       1
194,584,T001203,GM0307    ,2022JJ00,    5365,     385,    2455,    2170,     350,    1540,    3430,     395,    8165,    1650,    3010,     430,     450,     190,      20,    1955,       .,Amersfoort                              ,Gemeente ,GM0307    ,       1
228,686,T001203,GM0362    ,2022JJ00,    2150,     180,     990,     925,      60,     615,    1455,      80,    2780,     755,    1340,      30,     210,     125,       .,     135,      20,Amstelveen                              ,Gemeente ,GM0362    ,       1
243,731,T001203,GM0363    ,2022JJ00,   21520,    2305,    9645,    8465,    1105,    8450,   10985,    2085,   32485,    6165,    7825,     115,    3875,     705,      60,   11305,     265,Amsterdam                               ,Gemeente ,GM0363    ,       1
343,1031,T001203,GM0200    ,2022JJ00,    4700,     310,    2220,    2015,     155,    1265,    3030,     405,    7335,    3755,    1385,      30,     755,     585,      15,     230,      10,Apeldoorn                               ,Gemeente ,GM0200    ,       1
360,1082,T001203,GM0202    ,2022JJ00,    4700,     355,    2225,    1915,     205,    1605,    2660,     435,    7300,    2805,    2365,     185,     605,     395,      25,     295,       .,Arnhem                                  ,Gemeente ,GM0202    ,       1
385,1157,T001203,GM0106    ,2022JJ00,    2405,     115,    1085,    1075,     130,     705,    1485,     215,    3395,     715,    1565,     230,     255,     120,      30,     195,      40,Assen                                   ,Gemeente ,GM0106    ,       1
396,1190,T001203,GM0743    ,2022JJ00,     315,      20,     170,     125,       .,      55,     230,      30,     460,     290,      80,      10,      30,      15,       .,       .,       .,Asten                                   ,Gemeente ,GM0743    ,       1
408,1226,T001203,GM0744    ,2022JJ00,     150,       .,      95,      50,       .,      35,     110,       .,     200,      55,      95,       .,       .,      20,       .,       .,       .,Baarle-Nassau                           ,Gemeente ,GM0744    ,       1
412,1238,T001203,GM0308    ,2022JJ00,     650,      25,     325,     275,      25,     155,     445,      50,     925,     215,     490,      40,      60,      30,       .,      25,       .,Baarn                                   ,Gemeente ,GM0308    ,       1
418,1256,T001203,GM0489    ,2022JJ00,    1070,      25,     530,     490,      25,     225,     790,      55,    1450,     340,     775,      30,      75,     125,       .,      40,      10,Barendrecht                             ,Gemeente ,GM0489    ,       1
442,1328,T001203,GM0203    ,2022JJ00,    1650,      75,     905,     645,      30,     260,    1250,     140,    2475,     945,     860,      60,     170,      55,       .,     200,       .,Barneveld                               ,Gemeente ,GM0203    ,       1
453,1361,T001203,GM0888    ,2022JJ00,     395,      35,     190,     165,       .,     100,     270,      25,     575,     185,     205,      25,      45,      70,       .,      15,       .,Beek                                    ,Gemeente ,GM0888    ,       3
456,1370,T001203,GM1954    ,2022JJ00,     875,      50,     470,     345,      10,     225,     595,      55,    1285,     510,     390,      70,      90,     125,       .,      35,       .,Beekdaelen                              ,Gemeente ,GM1954    ,       1
464,1394,T001203,GM0889    ,2022JJ00,     355,      25,     175,     135,      15,      95,     235,      25,     520,     240,     125,      20,      40,      15,       .,      25,       .,Beesel                                  ,Gemeente ,GM0889    ,       1
467,1403,T001203,GM1945    ,2022JJ00,     690,      50,     365,     250,      25,     175,     460,      55,    1130,     490,     345,      20,      80,      90,       .,      20,       .,Berg en Dal                             ,Gemeente ,GM1945    ,       1
481,1445,T001203,GM1724    ,2022JJ00,     350,      20,     165,     120,      45,      70,     250,      30,     445,     170,     165,      15,      20,      15,       .,      25,       .,Bergeijk                                ,Gemeente ,GM1724    ,       1
